time,平均气温(℃),平均风速(knots),最大单日降水量(mm),平均气温≥18℃的天数,平均气温≤0℃的天数,降水天数,平均能见度(km),最小能见度(km),最大能见度(km),平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2),土壤蒸发量(W/m2),土壤蒸发量(mm)
2012-01-01,-22.94,5.52,0.51,0,31,5,29.0,26.23,29.93,1039.02,1027.8,907.04,13.73,30.87,42.79,168.56,0.57,0.61
2012-02-01,-17.86,6.01,0.76,0,29,5,29.32,26.23,29.93,1032.85,1018.1,903.99,13.0,30.87,42.79,168.56,0.86,0.86
2012-03-01,-7.11,7.36,4.83,0,26,13,28.28,15.61,29.93,1025.52,1012.1,902.44,12.6,30.87,42.79,168.56,1.78,1.91
2012-04-01,6.94,8.82,5.33,0,5,3,28.21,14.81,29.93,1010.29,994.1,898.3,11.97,30.73,42.76,168.56,6.94,7.2
2012-05-01,14.61,8.56,15.49,8,0,10,28.55,21.57,29.93,1008.54,1001.7,899.5,14.18,29.99,42.58,168.56,16.89,18.1
2012-06-01,17.69,6.86,21.59,17,0,19,28.52,20.92,29.93,1002.58,995.3,895.58,19.28,39.52,43.01,168.56,32.34,33.53
2012-07-01,21.14,6.91,78.99,28,0,14,28.2,22.85,29.93,1002.58,995.3,893.12,19.64,55.47,54.9,168.53,29.38,31.48
2012-08-01,19.87,6.76,24.89,24,0,11,29.4,24.94,29.93,1007.95,1002.4,897.44,15.76,44.94,61.25,168.44,13.32,14.27
2012-09-01,12.92,5.67,26.92,4,0,8,29.16,20.6,29.93,1015.88,1008.6,902.06,17.12,45.67,55.29,168.38,12.88,13.36
2012-10-01,4.32,6.26,9.91,0,6,8,29.1,14.81,29.93,1019.4,1011.6,901.86,15.04,42.49,54.69,168.33,7.59,8.13
2012-11-01,-9.43,7.11,11.94,0,27,11,26.62,6.12,29.93,1024.99,1010.3,901.01,14.79,42.71,55.02,168.32,0.88,0.92
2012-12-01,-20.42,5.97,1.52,0,31,7,27.78,19.79,29.93,1033.76,1018.3,903.67,14.42,42.71,55.02,168.32,0.32,0.34
2013-01-01,-19.49,5.56,0.76,0,31,8,27.7,18.19,29.93,1034.38,1022.1,904.53,14.09,42.71,55.02,168.32,0.37,0.4
2013-02-01,-16.67,6.48,1.78,0,28,4,28.98,22.05,29.93,1031.93,1014.9,903.81,13.55,42.71,55.02,168.32,0.81,0.78
2013-03-01,-4.27,7.2,3.81,0,24,6,28.05,22.05,29.93,1019.96,998.5,901.96,12.85,42.7,55.02,168.32,3.14,3.37
2013-04-01,2.07,8.07,3.81,0,14,10,27.95,18.19,29.93,1015.4,1001.9,897.37,11.82,42.6,54.96,168.32,4.81,4.99
2013-05-01,16.08,8.55,4.06,10,0,6,28.18,24.14,29.93,1006.14,995.5,894.49,12.73,40.66,54.08,168.32,11.62,12.45
2013-06-01,18.72,7.31,12.19,19,0,17,28.12,20.28,29.93,1003.81,995.4,893.35,19.25,48.64,54.08,168.29,37.17,38.54
2013-07-01,21.38,6.27,22.35,28,0,20,28.9,23.17,29.93,1000.64,993.7,891.52,20.34,54.64,62.91,168.22,36.64,39.26
2013-08-01,20.04,6.81,43.43,22,0,12,28.92,21.89,29.93,1004.21,995.6,894.21,17.61,48.09,60.95,168.11,20.28,21.73
2013-09-01,13.66,7.15,4.83,4,0,3,29.11,23.82,29.93,1013.89,1000.7,907.05,14.49,38.27,55.29,168.04,9.18,9.51
2013-10-01,4.8,6.55,4.06,0,7,4,27.87,21.57,29.93,1022.89,1003.0,908.33,13.56,35.33,52.83,168.0,5.5,5.9
2013-11-01,-4.59,6.74,1.78,0,23,7,28.61,23.98,29.93,1025.27,1015.7,903.32,11.92,35.23,52.75,167.97,1.96,2.03
2013-12-01,-14.29,5.37,1.52,0,31,6,27.31,16.42,29.93,1031.85,1013.4,904.76,10.98,35.22,52.76,167.96,0.38,0.4
2014-01-01,-12.68,5.99,29.97,0,31,2,18.67,7.89,25.75,1029.22,1013.4,903.19,10.55,35.22,52.76,167.96,0.63,0.67
2014-02-01,-12.2,5.46,0.76,0,26,5,17.45,3.7,28.81,1031.69,1011.3,905.6,9.97,35.22,52.76,167.96,0.43,0.42
2014-03-01,-0.97,6.0,1.27,0,13,4,18.17,9.01,25.43,1022.01,1005.8,901.91,13.96,36.19,52.75,167.96,13.5,14.46
2014-04-01,9.63,7.78,3.81,0,1,4,18.28,10.3,25.27,1016.16,1003.7,901.0,15.5,42.33,52.56,167.96,19.41,20.12
2014-05-01,12.32,8.49,17.78,7,1,16,22.14,10.14,29.93,1007.68,996.3,894.39,16.73,41.97,52.24,167.96,23.61,25.29
2014-06-01,18.41,6.27,27.69,17,0,11,24.51,16.58,29.93,1006.42,999.4,895.58,18.29,49.67,53.89,167.92,27.83,28.85
2014-07-01,22.27,6.47,17.27,28,0,15,22.58,9.33,28.81,1002.92,998.1,900.7,16.7,44.67,55.34,167.88,21.6,23.14
2014-08-01,19.72,5.72,5.08,22,0,13,21.9,12.55,27.2,1008.69,1002.0,898.08,14.85,35.53,49.35,167.83,10.33,11.07
2014-09-01,13.45,6.26,8.89,7,0,10,22.0,17.06,28.16,1014.88,1004.8,901.31,12.84,29.71,45.27,167.79,5.13,5.32
2014-10-01,5.96,5.83,17.53,0,4,7,20.02,8.37,26.72,1020.73,1009.3,906.64,14.98,33.74,44.44,167.75,8.21,8.8
2014-11-01,-4.23,6.17,0.51,0,25,2,21.08,14.48,28.49,1025.64,1009.7,903.85,13.72,35.79,44.52,167.72,3.76,3.9
2014-12-01,-14.58,5.75,1.02,0,31,9,22.13,14.16,29.29,1032.15,1020.7,905.0,11.73,35.81,44.52,167.72,0.69,0.73
2015-01-01,-14.32,5.14,59.94,0,31,12,18.75,7.56,29.29,1033.3,1018.0,906.06,11.17,35.81,44.52,167.72,0.43,0.46
2015-02-01,-11.32,5.35,20.07,0,28,9,18.02,8.69,28.32,1028.66,1013.4,903.37,10.77,35.81,44.52,167.72,0.58,0.56
2015-03-01,-2.06,7.09,0.51,0,19,1,20.28,8.53,27.04,1022.59,1005.9,902.01,9.93,35.79,44.52,167.72,1.44,1.54
2015-04-01,6.6,8.02,14.48,4,5,8,21.69,10.78,29.77,1015.75,1002.3,899.42,15.31,35.63,44.48,167.72,12.19,12.64
2015-05-01,12.66,8.46,18.03,9,0,11,22.6,14.32,27.68,1007.04,994.3,894.03,14.55,34.71,44.27,167.72,14.99,16.06
2015-06-01,17.1,6.13,65.53,12,0,17,22.61,14.16,28.81,1005.01,997.2,893.85,16.82,39.39,44.18,167.7,20.78,21.54
2015-07-01,21.53,6.34,11.94,27,0,17,21.47,14.16,28.81,1004.45,998.4,894.93,17.13,42.8,44.62,167.65,17.54,18.79
2015-08-01,19.63,5.25,25.4,23,0,8,21.73,14.81,27.2,1008.45,998.8,897.84,15.47,38.95,44.45,167.61,10.37,11.11
2015-09-01,13.83,6.04,16.0,4,0,10,23.69,9.5,28.97,1015.67,1006.8,902.22,17.31,39.19,43.57,167.58,12.06,12.5
2015-10-01,5.12,6.44,7.11,0,7,4,22.74,12.55,29.93,1021.49,1012.2,903.95,15.55,46.53,46.3,167.56,9.49,10.17
2015-11-01,-7.19,5.25,70.1,0,24,15,16.13,8.05,25.59,1030.64,1014.3,906.88,14.55,44.55,47.79,167.53,1.96,2.03
2015-12-01,-13.69,5.56,89.92,0,31,13,15.84,5.15,29.77,1033.05,1015.3,906.12,14.73,44.44,47.89,167.53,0.6,0.65
2016-01-01,-23.33,5.34,1.27,0,31,4,19.31,7.08,29.29,1039.73,1024.3,907.46,14.11,44.44,47.89,167.53,0.59,0.63
2016-02-01,-15.27,5.84,6.1,0,29,6,22.34,8.53,29.93,1032.61,1015.4,905.06,13.34,44.44,47.89,167.53,0.94,0.95
2016-03-01,-2.12,6.97,29.97,0,19,10,21.2,6.6,27.84,1023.06,996.5,905.05,12.26,44.43,47.89,167.53,2.58,2.76
2016-04-01,7.03,8.2,2.54,1,2,5,23.08,11.59,29.61,1011.55,995.9,895.91,11.05,44.07,47.82,167.53,4.31,4.47
2016-05-01,13.94,9.67,13.21,6,0,7,23.87,15.45,29.93,1008.25,1000.3,895.54,15.43,42.39,47.5,167.53,22.17,23.75
2016-06-01,18.08,6.33,19.3,15,0,17,24.25,17.06,29.93,1004.73,996.5,893.96,17.0,43.5,47.6,167.5,24.02,24.91
2016-07-01,23.41,5.95,16.0,29,0,12,23.56,16.09,29.93,1003.41,995.4,894.62,17.33,45.2,48.39,167.46,20.58,22.05
2016-08-01,22.53,6.0,16.76,26,0,8,25.11,14.65,29.93,1007.42,998.4,897.96,12.85,33.21,45.51,167.42,6.43,6.89
2016-09-01,13.64,5.11,6.1,2,0,12,24.77,13.36,29.93,1014.42,1002.2,900.95,16.22,33.22,43.44,167.39,9.48,9.83
2016-10-01,3.26,5.79,27.69,0,10,9,21.81,14.32,29.93,1022.61,1007.3,904.22,17.79,46.72,44.77,167.38,9.15,9.8
2016-11-01,-6.52,6.32,9.91,0,26,10,24.0,11.91,29.93,1026.24,1007.5,906.38,16.33,46.76,45.86,167.37,5.8,6.01
2016-12-01,-12.73,5.37,70.1,0,31,20,19.62,7.08,28.97,1032.45,1019.9,906.07,13.25,46.76,45.86,167.37,1.36,1.46
2017-01-01,-15.84,5.3,59.94,0,31,26,21.2,11.59,29.93,1034.27,1023.8,909.39,12.48,46.76,45.86,167.37,0.62,0.67
2017-02-01,-10.19,5.73,39.88,0,28,11,24.3,12.55,29.93,1030.42,1014.5,905.45,11.71,46.76,45.86,167.37,1.07,1.04
2017-03-01,-2.81,5.63,2.29,0,24,7,23.88,13.84,28.97,1025.06,1016.4,903.95,11.1,46.75,45.86,167.37,2.01,2.15
2017-04-01,7.51,7.42,3.05,0,0,7,24.72,16.09,28.97,1012.84,1002.1,897.21,11.06,46.28,45.81,167.37,3.95,4.1
2017-05-01,15.53,9.26,2.03,12,0,5,25.6,9.5,29.93,1008.58,998.4,896.42,11.81,43.85,45.61,167.37,7.98,8.55
2017-06-01,20.21,6.11,9.91,21,0,12,27.83,21.89,29.93,1005.93,1000.3,895.74,13.29,38.16,45.5,167.33,10.32,10.7
2017-07-01,24.57,6.46,10.16,30,0,10,27.78,15.61,29.93,1002.18,993.8,893.95,15.33,36.15,44.29,167.29,13.61,14.58
2017-08-01,19.98,5.68,9.65,24,0,12,26.89,17.54,29.93,1006.29,995.5,902.69,16.83,38.47,43.26,167.28,11.05,11.84
2017-09-01,15.34,7.02,7.87,10,0,8,27.7,20.6,29.93,1010.69,1000.4,898.31,14.24,35.2,42.71,167.28,6.61,6.85
2017-10-01,4.86,5.59,7.37,0,3,2,24.01,9.17,29.93,1024.88,1011.7,906.9,13.52,33.85,42.53,167.28,4.08,4.37
2017-11-01,-7.77,6.81,50.04,0,24,11,25.14,11.27,29.93,1026.73,1013.2,903.22,12.13,34.05,42.64,167.28,1.92,1.99
2017-12-01,-14.97,5.32,29.97,0,31,15,23.93,9.33,29.93,1032.93,1020.0,905.49,11.21,34.05,42.65,167.28,0.69,0.73
2018-01-01,-18.81,6.02,39.88,0,31,20,23.42,13.04,29.93,1034.07,1018.3,904.64,10.69,34.05,42.65,167.28,0.42,0.45
2018-02-01,-14.42,5.77,59.94,0,28,18,22.88,6.6,29.77,1028.84,1012.5,902.14,10.26,34.05,42.65,167.28,0.46,0.45
2018-03-01,0.3,6.64,20.07,0,14,6,22.58,8.21,28.81,1020.06,998.8,900.66,9.75,34.02,42.65,167.28,1.15,1.23
2018-04-01,7.41,9.02,4.06,2,6,11,22.9,4.51,29.93,1014.59,997.9,898.72,14.55,33.84,42.62,167.28,12.3,12.76
2018-05-01,16.33,7.45,7.37,11,0,8,26.1,15.93,29.93,1007.98,991.9,896.19,13.94,33.22,42.49,167.28,11.82,12.66
2018-06-01,20.89,6.77,6.1,25,0,6,27.36,16.58,29.93,1002.83,997.4,893.28,15.68,35.17,42.36,167.28,15.79,16.37
2018-07-01,25.0,6.95,44.96,31,0,12,26.14,17.7,29.93,1002.18,995.6,894.1,19.66,49.55,45.46,167.27,25.76,27.6
2018-08-01,21.51,5.34,14.48,28,0,9,27.66,16.09,29.93,1008.06,1000.9,898.19,19.01,52.52,57.18,167.23,14.65,15.7
2018-09-01,11.94,7.1,32.51,3,0,16,27.12,17.06,29.93,1014.03,999.8,906.67,18.27,49.75,60.56,167.15,12.7,13.17
2018-10-01,2.79,5.52,20.07,0,8,4,24.69,9.82,29.93,1023.89,1013.6,905.16,14.81,48.14,62.59,167.07,6.09,6.53
2018-11-01,-5.82,5.53,59.94,0,26,13,22.43,8.05,29.93,1027.96,1016.7,905.21,12.47,46.1,63.66,167.03,1.91,1.98
2018-12-01,-15.42,5.99,0.0,0,30,0,24.8,10.3,29.93,1036.21,1015.1,908.05,11.08,46.07,63.68,167.03,1.14,1.22
2019-01-01,-13.78,5.96,0.51,0,31,1,24.75,16.58,29.93,1034.67,1025.5,907.52,10.27,46.07,63.68,167.03,0.74,0.79
2019-02-01,-14.38,4.73,29.97,0,28,11,22.61,8.53,29.93,1033.2,1012.6,905.96,9.64,46.07,63.68,167.03,0.33,0.32
2019-03-01,-2.14,6.66,1.52,0,24,3,24.85,12.55,29.93,1020.57,1005.0,903.38,10.02,46.05,63.66,167.03,1.19,1.28
2019-04-01,7.34,7.38,3.81,1,2,2,25.46,14.65,29.93,1014.43,997.1,898.55,11.22,45.67,63.41,167.03,4.82,5.0
2019-05-01,14.26,8.24,6.6,5,0,10,26.28,10.94,29.93,1008.47,995.6,895.9,15.88,44.71,62.31,167.02,21.17,22.68
2019-06-01,20.08,6.75,11.94,21,0,13,27.34,14.16,29.93,1003.69,995.2,893.72,16.75,43.84,60.77,166.95,20.79,21.56
2019-07-01,22.82,5.8,32.26,29,0,13,27.42,12.55,29.93,1002.35,995.0,893.47,17.25,45.0,57.97,166.86,18.9,20.25
2019-08-01,18.76,6.13,17.78,15,0,17,26.67,20.92,29.93,1007.84,1000.2,896.99,17.39,40.65,52.05,166.81,14.27,15.29
2019-09-01,17.14,5.37,10.92,12,0,5,28.65,24.94,29.93,1015.94,1003.9,903.57,12.68,37.3,48.82,166.76,4.68,4.85
2019-10-01,4.36,6.58,10.67,1,6,8,25.75,18.35,29.93,1023.35,1008.2,911.73,13.99,32.99,47.08,166.72,4.71,5.05
2019-11-01,-5.28,5.99,1.52,0,22,6,24.17,16.25,29.93,1027.86,1013.1,908.41,13.89,33.78,47.06,166.7,2.94,3.05
2019-12-01,-15.1,5.38,10.41,0,31,9,20.97,4.83,29.93,1032.35,1017.5,904.9,12.59,33.85,47.07,166.7,0.52,0.56
2020-01-01,-17.49,4.93,2.79,0,31,3,17.65,7.56,29.93,1036.15,1024.7,907.1,12.21,33.85,47.07,166.7,0.33,0.36
2020-02-01,-12.46,5.52,3.3,0,29,6,21.39,6.12,29.93,1031.63,1014.3,905.37,11.86,33.85,47.07,166.7,0.63,0.63
2020-03-01,-1.65,7.19,1.78,0,20,5,26.92,15.93,29.93,1020.32,1008.5,900.14,11.95,33.84,47.07,166.7,2.6,2.78
2020-04-01,5.82,6.92,6.86,1,3,3,25.75,9.98,29.93,1019.62,1002.5,902.48,13.73,33.65,46.99,166.7,10.51,10.89
2020-05-01,13.95,7.41,7.11,8,0,14,26.47,14.32,29.93,1006.43,995.1,893.97,16.51,34.02,46.68,166.7,19.89,21.31
2020-06-01,20.42,6.84,11.43,23,0,9,27.92,20.92,29.93,1002.34,995.7,892.6,17.01,40.0,46.43,166.67,23.21,24.06
2020-07-01,21.06,6.01,67.31,29,0,14,26.07,13.84,29.93,1003.63,996.5,894.02,21.31,56.6,54.24,166.62,30.21,32.37
2020-08-01,20.12,6.19,48.51,25,0,15,28.16,19.79,29.93,1004.41,997.0,894.42,20.79,56.63,68.52,166.51,23.02,24.66
2020-09-01,13.3,5.87,7.62,1,0,15,27.87,19.79,29.93,1014.14,1004.1,900.6,20.04,56.67,76.04,166.32,16.95,17.58
2020-10-01,3.76,6.75,4.32,0,5,3,27.33,13.36,29.93,1022.65,1008.1,904.47,16.59,52.88,80.84,166.09,11.19,11.99
2020-11-01,-6.73,5.32,2.03,0,22,5,21.37,3.86,29.93,1031.35,1015.8,907.69,15.04,50.66,82.25,165.95,2.43,2.52
2020-12-01,-20.17,5.9,1.27,0,31,3,22.18,8.53,29.93,1037.28,1021.8,906.88,16.51,50.4,82.44,165.92,1.41,1.51
2021-01-01,-20.03,5.38,2.54,0,31,6,21.5,9.01,29.93,1032.13,1011.4,902.3,15.17,50.4,82.44,165.92,1.05,1.13
2021-02-01,-12.43,6.08,80.01,0,24,9,24.29,10.14,29.93,1028.51,1011.3,902.65,13.93,50.4,82.44,165.92,1.58,1.53
2021-03-01,-0.27,6.34,50.04,0,16,10,22.0,7.89,29.93,1020.35,999.6,900.6,14.37,50.38,82.43,165.92,7.0,7.5
2021-04-01,7.18,7.99,2.54,0,1,8,25.57,10.94,29.93,1017.14,1004.1,900.87,14.18,49.84,81.94,165.92,10.75,11.14
2021-05-01,12.81,7.85,9.4,4,0,7,27.42,13.04,29.93,1005.61,997.9,892.74,14.77,47.77,79.86,165.91,15.29,16.38
2021-06-01,18.56,6.66,14.99,16,0,14,28.07,16.09,29.93,1003.36,998.5,892.83,17.66,47.63,76.28,165.71,24.66,25.57
2021-07-01,22.31,5.03,65.79,28,0,12,26.15,8.53,29.93,1003.05,995.3,893.92,22.1,61.7,85.27,165.46,28.82,30.88
2021-08-01,18.18,5.47,9.65,19,0,16,24.91,11.91,29.93,1007.72,1000.1,896.61,20.36,56.11,85.64,165.15,17.97,19.25
2021-09-01,14.61,5.29,20.83,4,0,13,26.72,15.13,29.93,1013.52,1006.5,900.45,21.01,59.26,87.32,164.85,17.3,17.94
2021-10-01,4.42,5.22,4.83,0,5,1,28.02,22.69,29.93,1026.04,1003.7,907.6,16.93,54.84,92.52,164.59,9.78,10.48
2021-11-01,-5.89,5.9,50.04,0,25,23,25.54,17.38,29.93,1026.1,1014.9,903.43,13.91,52.17,93.43,164.49,1.39,1.44
2021-12-01,-12.41,5.92,20.07,0,31,17,26.91,14.0,29.93,1031.97,1017.2,905.64,13.14,52.14,93.45,164.48,0.87,0.93
2022-01-01,-17.09,4.37,39.88,0,31,29,24.09,7.56,29.93,1034.97,1020.3,906.26,12.45,52.14,93.45,164.48,0.41,0.44
2022-02-01,-17.93,5.3,70.1,0,28,21,25.01,9.17,29.93,1035.77,1023.2,906.42,12.1,52.14,93.45,164.48,0.28,0.27
2022-03-01,-2.36,6.37,50.04,0,22,9,27.44,18.67,29.93,1019.49,1006.8,899.03,14.96,52.13,93.44,164.48,5.58,5.98
